unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1530057600,2018-06-27,BTC/USD,6073.99,6181.11,5985.0,6135.64,7446.86155074,45691261.60518238
1529971200,2018-06-26,BTC/USD,6252.28,6277.0,6025.68,6068.0,7751.62208792,47036842.82949856
1529884800,2018-06-25,BTC/USD,6153.6,6365.34,6075.01,6253.61,9689.68930701,60595537.9472108
1529798400,2018-06-24,BTC/USD,6169.91,6255.05,5780.0,6153.4,11423.59392896,70293942.88246246
1529712000,2018-06-23,BTC/USD,6055.17,6261.0,6048.54,6177.38,4585.87147205,28328670.71401223
1529625600,2018-06-22,BTC/USD,6718.33,6737.97,5940.0,6050.45,18544.14405465,112200416.3954571
1529539200,2018-06-21,BTC/USD,6756.6,6792.2,6677.85,6718.33,4837.32442832,32498741.826515105
1529452800,2018-06-20,BTC/USD,6728.44,6809.26,6558.95,6756.58,5193.76884592,35092114.70896615
1529366400,2018-06-19,BTC/USD,6711.3,6841.81,6660.21,6736.52,5443.67979628,36671457.82123615
1529280000,2018-06-18,BTC/USD,6451.03,6793.0,6381.25,6707.5,5940.1743975,39843719.77123125
1529193600,2018-06-17,BTC/USD,6487.92,6575.35,6429.23,6453.41,2828.75680848,18255127.47541292
1529107200,2018-06-16,BTC/USD,6390.6,6557.81,6333.63,6487.92,3553.69972603,23056119.52650456
1529020800,2018-06-15,BTC/USD,6638.8,6666.66,6370.0,6390.6,7132.20678871,45579080.70393013
1528934400,2018-06-14,BTC/USD,6308.49,6708.1,6270.69,6646.1,14185.83821156,94280499.33784892
1528848000,2018-06-13,BTC/USD,6557.66,6624.45,6120.0,6307.4,19190.50457858,121042188.57893547
1528761600,2018-06-12,BTC/USD,6880.76,6880.76,6461.42,6557.67,8827.5994997,57888484.4111977
1528675200,2018-06-11,BTC/USD,6781.17,6919.97,6634.86,6880.61,11409.52423218,78504486.52718003
1528588800,2018-06-10,BTC/USD,7498.0,7498.0,6627.7,6781.17,14392.69540615,97599314.3073222
1528502400,2018-06-09,BTC/USD,7618.11,7686.45,7468.31,7492.7,2713.78104511,20333547.236695696
1528416000,2018-06-08,BTC/USD,7676.41,7697.0,7542.0,7618.11,4676.55832777,35626535.76236791
1528329600,2018-06-07,BTC/USD,7658.99,7750.0,7618.99,7689.28,7545.00925066,58015688.73091493
1528243200,2018-06-06,BTC/USD,7617.98,7695.46,7482.61,7658.57,7058.05577232,54054614.19621678
1528156800,2018-06-05,BTC/USD,7494.99,7685.0,7360.0,7617.98,9968.45508961,75939491.50354719
1528070400,2018-06-04,BTC/USD,7712.97,7764.44,7449.68,7488.26,6990.5513527,52347066.07236931
1527984000,2018-06-03,BTC/USD,7642.0,7790.69,7581.03,7703.67,4729.21008365,36432273.845112
1527897600,2018-06-02,BTC/USD,7511.72,7700.0,7438.92,7642.0,4012.16875521,30660993.62731482
1527811200,2018-06-01,BTC/USD,7492.28,7620.01,7348.45,7511.6,6762.6275727,50798153.275093324
1527724800,2018-05-31,BTC/USD,7375.64,7601.23,7330.22,7492.28,7339.00726931,54985897.38370593
1527638400,2018-05-30,BTC/USD,7469.45,7559.0,7273.89,7375.73,8940.4540053,65942374.82051136
